type,filename,hit_rate_perc,avg_drift_pixl,track_loss_perc,max_ttr_ms
Original,01.avi,81.95,72.18,0.89,366.67
Modified,01_gaussian_blur_medium.avi,84.19,80.71,0.89,366.67
Modified,01_gaussian_blur_mild.avi,84.98,77.58,0.89,366.67
Modified,01_gaussian_blur_severe.avi,84.3,85.67,0.89,366.67
Modified,01_grain_medium.avi,83.41,70.85,0.89,366.67
Modified,01_grain_mild.avi,82.51,72.69,0.89,366.67
Modified,01_grain_severe.avi,80.72,70.92,0.89,366.67
Modified,01_motion_blur_medium.avi,85.31,75.26,0.89,366.67
Modified,01_motion_blur_mild.avi,84.42,75.59,0.89,366.67
Modified,01_motion_blur_severe.avi,84.42,77.23,0.89,366.67
Modified,01_occlusion_static_medium.avi,84.19,70.04,0.89,366.67
Modified,01_occlusion_static_mild.avi,84.08,72.44,0.89,366.67
Modified,01_occlusion_static_severe.avi,83.41,71.05,0.89,366.67
Modified,01_overexposure_medium.avi,82.74,72.58,0.89,366.67
Modified,01_overexposure_mild.avi,83.97,73.78,0.89,366.67
Modified,01_overexposure_severe.avi,82.17,73.08,0.89,366.67
Modified,01_underexposure_medium.avi,65.7,45.35,0.89,366.67
Modified,01_underexposure_mild.avi,84.19,74.9,0.89,366.67
Modified,01_underexposure_severe.avi,61.32,53.34,0.89,366.67
Original,11.avi,86.31,57.41,29.03,1400.0
Modified,11_gaussian_blur_medium.avi,89.32,64.43,29.03,1400.0
Modified,11_gaussian_blur_mild.avi,87.27,57.24,29.03,1400.0
Modified,11_gaussian_blur_severe.avi,90.4,68.84,29.03,1400.0
Modified,11_grain_medium.avi,87.03,53.64,29.03,1400.0
Modified,11_grain_mild.avi,86.55,57.16,29.03,1400.0
Modified,11_grain_severe.avi,85.23,55.45,29.03,1400.0
Modified,11_motion_blur_medium.avi,86.79,64.64,29.03,1400.0
Modified,11_motion_blur_mild.avi,87.76,58.05,29.03,1400.0
Modified,11_motion_blur_severe.avi,88.72,63.99,29.03,1400.0
Modified,11_occlusion_static_medium.avi,89.44,52.99,29.03,1400.0
Modified,11_occlusion_static_mild.avi,86.31,55.73,29.03,1400.0
Modified,11_occlusion_static_severe.avi,89.56,56.27,29.03,1400.0
Modified,11_overexposure_medium.avi,85.95,57.73,29.03,1400.0
Modified,11_overexposure_mild.avi,87.03,56.76,29.03,1400.0
Modified,11_overexposure_severe.avi,85.35,57.05,29.03,1400.0
Modified,11_underexposure_medium.avi,83.79,54.76,29.03,1400.0
Modified,11_underexposure_mild.avi,86.43,56.4,29.03,1400.0
Modified,11_underexposure_severe.avi,79.47,48.46,29.03,1400.0
Original,29.avi,80.29,60.38,1.36,266.67
Modified,29_gaussian_blur_medium.avi,78.38,75.72,1.36,266.67
Modified,29_gaussian_blur_mild.avi,78.83,73.61,1.36,266.67
Modified,29_gaussian_blur_severe.avi,82.55,72.41,1.36,266.67
Modified,29_grain_medium.avi,78.49,61.49,1.36,266.67
Modified,29_grain_mild.avi,80.41,62.54,1.36,266.67
Modified,29_grain_severe.avi,81.08,62.55,1.36,266.67
Modified,29_motion_blur_medium.avi,80.18,64.11,1.36,266.67
Modified,29_motion_blur_mild.avi,82.88,65.23,1.36,266.67
Modified,29_motion_blur_severe.avi,79.84,62.26,1.36,266.67
Modified,29_occlusion_static_medium.avi,83.45,50.6,1.36,266.67
Modified,29_occlusion_static_mild.avi,78.6,56.27,1.36,266.67
Modified,29_occlusion_static_severe.avi,91.89,53.39,1.36,266.67
Modified,29_overexposure_medium.avi,78.6,56.86,1.36,266.67
Modified,29_overexposure_mild.avi,79.5,59.75,1.36,266.67
Modified,29_overexposure_severe.avi,81.19,63.24,1.36,266.67
Modified,29_underexposure_medium.avi,77.14,58.56,1.36,266.67
Modified,29_underexposure_mild.avi,78.6,61.74,1.36,266.67
Modified,29_underexposure_severe.avi,78.04,50.75,1.36,266.67
Original,36.avi,88.56,89.03,26.22,533.33
Modified,36_gaussian_blur_medium.avi,89.6,90.55,26.22,533.33
Modified,36_gaussian_blur_mild.avi,89.43,88.09,26.22,533.33
Modified,36_gaussian_blur_severe.avi,87.52,95.96,26.22,533.33
Modified,36_grain_medium.avi,87.18,86.31,26.22,533.33
Modified,36_grain_mild.avi,88.73,88.79,26.22,533.33
Modified,36_grain_severe.avi,85.44,88.51,26.22,533.33
Modified,36_motion_blur_medium.avi,88.39,89.72,26.22,533.33
Modified,36_motion_blur_mild.avi,90.64,88.15,26.22,533.33
Modified,36_motion_blur_severe.avi,88.73,90.44,26.22,533.33
Modified,36_occlusion_static_medium.avi,86.83,88.52,26.22,533.33
Modified,36_occlusion_static_mild.avi,88.56,88.39,26.22,533.33
Modified,36_occlusion_static_severe.avi,87.18,85.73,26.22,533.33
Modified,36_overexposure_medium.avi,86.66,87.31,26.22,533.33
Modified,36_overexposure_mild.avi,89.25,89.53,26.22,533.33
Modified,36_overexposure_severe.avi,87.18,89.45,26.22,533.33
Modified,36_underexposure_medium.avi,88.91,85.94,26.22,533.33
Modified,36_underexposure_mild.avi,88.91,88.01,26.22,533.33
Modified,36_underexposure_severe.avi,83.36,81.24,26.22,533.33
