Source_Folder,Video_Filename,Gaze_Hit_Rate_Pct,Avg_Centroid_Drift_Pixels,Avg_Latency_Ms
Original,01.avi,65.45,2736.71,397.9
Modified,01_gaussian_blur_medium.avi,64.78,2764.87,410.96
Modified,01_gaussian_blur_mild.avi,63.12,2736.37,413.08
Modified,01_gaussian_blur_severe.avi,58.14,2710.3,412.31
Modified,01_motion_blur_medium.avi,67.77,2838.42,413.59
Modified,01_motion_blur_mild.avi,64.78,2867.77,413.7
Modified,01_motion_blur_severe.avi,67.77,2737.88,414.21
Modified,01_occlusion_dynamic_medium.avi,58.14,2608.91,418.76
Modified,01_occlusion_dynamic_mild.avi,60.47,2731.14,416.77
Modified,01_occlusion_dynamic_severe.avi,56.81,2601.77,417.11
Modified,01_occlusion_static_medium.avi,59.8,2698.55,419.16
Modified,01_occlusion_static_mild.avi,59.47,2751.62,416.22
Modified,01_occlusion_static_severe.avi,62.46,2744.03,416.55
Modified,01_overexposure_medium.avi,62.13,2736.71,416.22
Modified,01_overexposure_mild.avi,64.78,2797.86,417.51
Modified,01_overexposure_severe.avi,57.81,2688.32,418.08
Modified,01_underexposure_medium.avi,14.62,988.6,418.12
Modified,01_underexposure_mild.avi,59.47,2644.15,418.35
Modified,01_underexposure_severe.avi,9.97,914.03,417.7
Original,11.avi,75.62,3106.65,397.23
Modified,11_gaussian_blur_medium.avi,78.45,2944.95,400.03
Modified,11_gaussian_blur_mild.avi,74.91,3038.75,400.95
Modified,11_gaussian_blur_severe.avi,80.92,3075.33,401.18
Modified,11_motion_blur_medium.avi,79.86,3003.38,397.88
Modified,11_motion_blur_mild.avi,76.68,2998.49,396.65
Modified,11_motion_blur_severe.avi,77.03,2953.59,397.28
Modified,11_occlusion_dynamic_medium.avi,74.2,3102.34,395.72
Modified,11_occlusion_dynamic_mild.avi,74.56,3101.57,394.95
Modified,11_occlusion_dynamic_severe.avi,74.2,3094.59,394.39
Modified,11_occlusion_static_medium.avi,73.85,3168.45,393.05
Modified,11_occlusion_static_mild.avi,74.91,3082.9,392.88
Modified,11_occlusion_static_severe.avi,72.79,3107.89,392.6
Modified,11_overexposure_medium.avi,74.91,3077.26,392.48
Modified,11_overexposure_mild.avi,74.56,3153.73,394.41
Modified,11_overexposure_severe.avi,75.62,3092.79,392.89
Modified,11_underexposure_medium.avi,48.06,2497.44,120690.0
