Source_Folder,Video_Filename,Gaze_Hit_Rate_Pct,Avg_Centroid_Drift_Pixels,Track_Loss_Pct,Max_TTR_Ms
Original,01.avi,91.67,162.15,87.48,261600.0
Modified,01_gaussian_blur_medium.avi,91.67,135.77,87.48,261600.0
Modified,01_gaussian_blur_mild.avi,83.33,144.82,87.48,261600.0
Modified,01_gaussian_blur_severe.avi,91.67,131.33,87.48,261600.0
Modified,01_motion_blur_medium.avi,100.0,151.06,87.48,261600.0
Modified,01_motion_blur_mild.avi,75.0,140.05,87.48,261600.0
Modified,01_motion_blur_severe.avi,91.67,141.59,87.48,261600.0
Modified,01_occlusion_dynamic_medium.avi,75.0,152.82,87.48,261600.0
Modified,01_occlusion_dynamic_mild.avi,75.0,152.67,87.48,261600.0
Modified,01_occlusion_dynamic_severe.avi,100.0,166.6,87.48,261600.0
Modified,01_occlusion_static_medium.avi,75.0,149.88,87.48,261600.0
Modified,01_occlusion_static_mild.avi,75.0,150.7,87.48,261600.0
Modified,01_occlusion_static_severe.avi,83.33,148.59,87.48,261600.0
Modified,01_overexposure_medium.avi,91.67,159.8,87.48,261600.0
Modified,01_overexposure_mild.avi,83.33,154.06,87.48,261600.0
Modified,01_overexposure_severe.avi,91.67,160.57,87.48,261600.0
Modified,01_underexposure_medium.avi,25.0,141.84,87.48,261600.0
Modified,01_underexposure_mild.avi,83.33,163.57,87.48,261600.0
Modified,01_underexposure_severe.avi,50.0,121.42,87.48,261600.0
Original,11.avi,72.73,71.12,90.81,261633.33
Modified,11_gaussian_blur_medium.avi,100.0,76.6,90.81,261633.33
Modified,11_gaussian_blur_mild.avi,90.91,67.55,90.81,261633.33
Modified,11_gaussian_blur_severe.avi,81.82,103.2,90.81,261633.33
Modified,11_motion_blur_medium.avi,81.82,76.54,90.81,261633.33
Modified,11_motion_blur_mild.avi,90.91,71.03,90.81,261633.33
Modified,11_motion_blur_severe.avi,90.91,70.44,90.81,261633.33
Modified,11_occlusion_dynamic_medium.avi,90.91,72.71,90.81,261633.33
Modified,11_occlusion_dynamic_mild.avi,72.73,77.7,90.81,261633.33
Modified,11_occlusion_dynamic_severe.avi,81.82,73.65,90.81,261633.33
Modified,11_occlusion_static_medium.avi,81.82,75.69,90.81,261633.33
Modified,11_occlusion_static_mild.avi,72.73,77.3,90.81,261633.33
Modified,11_occlusion_static_severe.avi,100.0,72.1,90.81,261633.33
Modified,11_overexposure_medium.avi,90.91,67.19,90.81,261633.33
Modified,11_overexposure_mild.avi,81.82,78.21,90.81,261633.33
Modified,11_overexposure_severe.avi,72.73,73.78,90.81,261633.33
Modified,11_underexposure_medium.avi,90.91,61.01,90.81,261633.33
Modified,11_underexposure_mild.avi,72.73,75.29,90.81,261633.33
Modified,11_underexposure_severe.avi,72.73,87.99,90.81,261633.33
Original,29.avi,100.0,202.06,87.69,261600.0
Modified,29_gaussian_blur_medium.avi,100.0,205.15,87.69,261600.0
Modified,29_gaussian_blur_mild.avi,100.0,203.04,87.69,261600.0
Modified,29_gaussian_blur_severe.avi,100.0,199.09,87.69,261600.0
Modified,29_motion_blur_medium.avi,100.0,194.01,87.69,261600.0
Modified,29_motion_blur_mild.avi,100.0,194.09,87.69,261600.0
Modified,29_motion_blur_severe.avi,83.33,187.35,87.69,261600.0
Modified,29_occlusion_dynamic_medium.avi,91.67,207.82,87.69,261600.0
Modified,29_occlusion_dynamic_mild.avi,100.0,195.16,87.69,261600.0
Modified,29_occlusion_dynamic_severe.avi,100.0,187.81,87.69,261600.0
Modified,29_occlusion_static_medium.avi,91.67,208.76,87.69,261600.0
Modified,29_occlusion_static_mild.avi,100.0,197.18,87.69,261600.0
Modified,29_occlusion_static_severe.avi,91.67,209.22,87.69,261600.0
Modified,29_overexposure_medium.avi,100.0,186.68,87.69,261600.0
Modified,29_overexposure_mild.avi,91.67,210.49,87.69,261600.0
Modified,29_overexposure_severe.avi,91.67,223.61,87.69,261600.0
Modified,29_underexposure_medium.avi,91.67,185.83,87.69,261600.0
Modified,29_underexposure_mild.avi,91.67,212.61,87.69,261600.0
Modified,29_underexposure_severe.avi,100.0,179.11,87.69,261600.0
Original,36.avi,100.0,124.86,91.06,261600.0
Modified,36_gaussian_blur_medium.avi,85.71,85.4,91.06,261600.0
Modified,36_gaussian_blur_mild.avi,85.71,77.06,91.06,261600.0
Modified,36_gaussian_blur_severe.avi,57.14,142.53,91.06,261600.0
Modified,36_motion_blur_medium.avi,100.0,126.26,91.06,261600.0
Modified,36_motion_blur_mild.avi,100.0,124.86,91.06,261600.0
Modified,36_motion_blur_severe.avi,100.0,128.71,91.06,261600.0
Modified,36_occlusion_dynamic_medium.avi,85.71,96.32,91.06,261600.0
Modified,36_occlusion_dynamic_mild.avi,85.71,98.77,91.06,261600.0
Modified,36_occlusion_dynamic_severe.avi,85.71,91.41,91.06,261600.0
Modified,36_occlusion_static_medium.avi,85.71,96.98,91.06,261600.0
Modified,36_occlusion_static_mild.avi,100.0,121.41,91.06,261600.0
Modified,36_occlusion_static_severe.avi,85.71,97.82,91.06,261600.0
Modified,36_overexposure_medium.avi,85.71,103.61,91.06,261600.0
Modified,36_overexposure_mild.avi,100.0,122.4,91.06,261600.0
Modified,36_overexposure_severe.avi,100.0,130.22,91.06,261600.0
Modified,36_underexposure_medium.avi,100.0,115.97,91.06,261600.0
Modified,36_underexposure_mild.avi,100.0,123.75,91.06,261600.0
Modified,36_underexposure_severe.avi,71.43,116.23,91.06,261600.0
